Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Total Debt Payments,Gini Coefficient,Long-term Unemployed,Long-term Unemployment Rate,Employed Workers,Net Worker Wealth,High Skill Workers,Medium Skill Workers,Low Skill Workers,Firm Owners,High Skill Average Wage,Medium Skill Average Wage,Low Skill Average Wage,Real Wage Total,High Skill Real Wage,Medium Skill Real Wage,Low Skill Real Wage,Weekly Inflation Rate,Annual Inflation Rate,High Skill Exploitation,Medium Skill Exploitation,Low Skill Exploitation
0.0,0.0,0.0,0.0,1.0,1.0,0.0,47386.73570429136,0.4236933678521457,5777977.722265047,0.0,0.0,0.0,0,0.0,0,0.0,0.6410807548075563,0,0.0,0,5777977.722265047,227,297,976,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,51033.77010732187,0.0,1.0,0.9626666666666667,1.0012569800339441,332188.6027096553,126790.32225189546,0.449500465095975,6717515.785609586,0.17036213285412186,47545.22051729549,31.696813678196996,225,0.0011967619576404652,0,4500.0,0.7354634813502856,0,0.0,56,6669970.565092291,227,297,976,49,1718.219003970194,1041.8447120124636,627.9248095138345,50969.70220930869,1716.0619483640892,1040.5367780578604,627.1365114403965,2.4157805178282032e-05,0.001256980033944144,-0.16316871362517488,0.10653574304416628,0.29098640175154644
11621.594029000365,93422.43968116483,17172.36346005323,0.8447272116563569,0.9266666666666666,1.0011176237573913,611787.267725077,195900.56404528406,0.47241456665662446,7510926.985217888,0.2375463661502544,174763.01948883221,116.50867965922147,412,0.002935475355840431,0,8240.0,0.7779979814064134,0,0.0,110,7336163.965729056,227,297,976,49,1735.3827690418236,959.0064382377908,581.8920181085264,93318.14510519957,1733.4454292479547,957.9358264001497,581.2424077847828,2.1480993807498905e-05,0.0011176237573913284,-0.14573468500026943,0.1649708964163301,0.3629603972344474
37398.52484266751,142283.19177784343,51219.38427641588,0.7353038635410536,0.888,1.0009090436672266,925055.7943178782,277356.8139904595,0.5009085811763413,8587882.808263334,0.25291586744769057,371461.3422502564,247.64089483350426,623,0.005575360287718109,0,12714.035127565485,0.7962976084483971,0,0.0,168,8216421.466013077,227,297,976,49,1735.6333465349874,977.7100755447638,570.38364492113,142153.96761381297,1734.05701298872,976.822101599298,569.8656121951938,1.747382068972847e-05,0.0009090436672265501,-0.14746748099861615,0.1719935360430678,0.38330975798744077
60665.26461166984,198904.72705572454,83485.46140903703,0.7043613240852563,0.844,1.001318426990147,1316881.443086132,347487.36917146365,0.5228916938555874,9995901.698634353,0.25442863997426557,650182.997635804,433.45533175720266,850,0.00804772469965281,0,18912.75560003347,0.7933448256081532,0,0.0,234,9345718.700998548,227,297,976,49,1693.0727142904966,986.5825960578888,561.5299529464799,198642.83098595345,1690.8434606358808,985.2835716041376,560.7905914948326,2.533798693304945e-05,0.001318426990146948,-0.11896212821403478,0.15939598610853348,0.39415802847099407
84807.74791373004,246807.4883734245,117173.0241841567,0.6780788527363258,0.8026666666666666,1.0020504822284826,1618534.1911987332,349358.92763218354,0.5140494847177491,11226677.07325313,0.2684919526998999,999491.5418578972,666.3276945719315,968,0.011475928844112653,0,24232.75108074912,0.7777538327116331,0,0.0,296,10227185.531395234,227,297,976,49,1708.2438199976853,979.6092828517997,558.6347620342365,246302.44957773364,1704.7482639783611,977.6047217433842,557.4916353434371,3.9392753934164304e-05,0.0020504822284825863,-0.11793096323145474,0.16789017319573807,0.40244740256332073
114305.62377820347,291151.44090274867,158026.29009680077,0.64818761218383,0.766,1.003104928248751,1919156.4263816143,344703.71518449386,0.5038859282572514,12326499.966509946,0.2727156134443313,1350855.2677774844,900.5701785183229,985,0.015483449611043514,0,29035.979905148604,0.7659745802825024,0,0.0,351,10975644.698732462,227,297,976,49,1691.9190065920525,977.9481357286554,553.0567383945522,290250.2347496678,1686.681980065488,974.9210757402867,551.3448521881896,5.961942935273079e-05,0.003104928248750971,-0.11163820972890974,0.17062020197802416,0.40845796205562956
137997.21328344714,345585.7946174576,190623.39404505197,0.6444980838158847,0.7246666666666667,1.0041460435057157,2298380.3560284288,335434.19931528915,0.48980737842844474,13752281.088720638,0.2737991716744,1697679.2178650785,1131.7861452433856,1002,0.019078162251085322,0,35280.12587933294,0.7501040990686696,0,0.0,413,12054601.87085556,227,297,976,49,1685.6535795849456,984.0777356658093,550.9131477507638,344158.8968582044,1678.6936427095038,980.0145526941051,548.6384687902502,7.956994148328178e-05,0.00414604350571568,-0.09778881665003726,0.1708089325636576,0.41313479018759885
164004.86108995441,398142.1281476848,226600.04799201444,0.6372902988682739,0.6873333333333334,1.004881234419817,2680875.8828949933,330200.29824487475,0.47895302519191424,15097245.68271221,0.2683798122975241,2034953.1357207962,1356.6354238138642,1020,0.02141435291802225,0,42062.2020360764,0.7355843594389357,0,0.0,469,13062292.546991415,227,297,976,49,1728.791890407422,969.2355072627913,549.0718379751305,396208.14332109404,1720.3942428137445,964.5274228077249,546.4047085048267,9.364591952865098e-05,0.0048812344198170265,-0.12903611827681974,0.18244423200329968,0.4162479887900677
182553.70251993323,440658.7973791017,251503.63583119636,0.6366407308979414,0.6466666666666666,1.0055977696615543,2904854.544223451,319088.394413865,0.46359737462035505,16196554.40865579,0.2786646884265087,2366891.1005166294,1577.9274003444195,1035,0.02766648065433204,0,48706.51509468928,0.7113585082053382,0,0.0,530,13829663.30813916,227,297,976,49,1720.037445452886,964.8637819653436,546.8328834732578,438205.82212250785,1710.4626694148144,959.4927624890017,543.7888785864161,0.00010735500008451915,0.0055977696615543415,-0.12208726083208662,0.18525330882574742,0.42002763838470647
