Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Gini Coefficient,Long-term Unemployed,Long-term Unemployment Rate,Employed Workers,Net Worker Wealth,High Skill Workers,Medium Skill Workers,Low Skill Workers,Firm Owners
0.0,0.0,0.0,0.0,1.0,1.0,0.0,109294.9205528033,0.4557502083585373,5211095.552067143,0.0,48365.07026970698,32.24338017980465,193,0.0,0,0.6665919849860866,0,0.0,0,5162730.481797436,198,323,979,59
0.0,1177.8614056651563,0.0,1.0,0.9633333333333334,1.0005438359283816,7315.459063191127,169802.454795778,0.47375339749145,4559317.22088005,0.9812703813061087,158209.45048767573,105.47296699178382,355,0.1388794961167703,0,0.7162473317491742,0,0.0,55,4401107.770392374,198,323,979,59
43445.50501113308,2188.717752871492,59971.073947560784,0.03521115005371344,0.9293333333333333,1.0005938471783447,30475.72679227673,237075.49850831935,0.49749817288414816,3987665.603282295,0.9822417325653301,328822.2198222779,219.21481321485194,519,0.22327372130280154,0,0.76096956711309,0,0.0,106,3658843.3834600174,198,323,979,59
85048.4633905854,3299.2931562748076,117606.72723114469,0.027288079995544254,0.8913333333333333,1.0010377510473456,53772.030643653874,307628.1837236159,0.5218659373853514,3509849.5039658,0.9824901410799443,562559.6900166889,375.03979334445927,700,0.31676127690379774,0,0.796391756523136,0,0.0,163,2947289.813949111,198,323,979,59
129388.1193213628,4344.645880942149,178535.8306390465,0.02375675065822176,0.852,1.0009076081034713,76678.9854936064,370437.8752865345,0.5426575230761386,3120346.04652232,0.9828684029425602,861465.2148552462,574.3101432368309,874,0.5669574252025581,0,0.8205798853309234,0,0.0,222,2258880.8316670735,198,323,979,59
173728.14078071667,5735.270927811919,239986.7248986175,0.023340486505990864,0.8133333333333334,1.0009994039375396,104610.5764059766,391472.8209520546,0.5442608486080434,2823715.4680602322,0.982452810489923,1213755.0665944528,809.1700443963019,993,0.66833627271999,0,0.8344410784694295,0,0.0,280,1609960.4014657794,198,323,979,59
221981.9975520741,6737.527196046325,306637.8134475375,0.021499863972096085,0.7773333333333333,1.0005811707784873,129408.85775326529,398803.6943802407,0.5400353675551406,2555539.652836691,0.9826926703499735,1575398.8485648844,1050.2658990432562,1015,0.8406307325503634,0,0.8444443852581334,0,0.0,334,980140.8042718068,198,323,979,59
264590.5985762667,7657.860721084057,366233.7051347172,0.020481501644884558,0.7446666666666667,1.0007200557057914,152559.0329067223,409554.76387563016,0.5386742282935757,2302870.928842422,0.9828459227460239,1934844.9139653128,1289.8966093102085,1032,1.0421089257384781,0,0.8553611410389967,0,0.0,383,368026.01487710926,198,323,979,59
302727.9429103651,8517.264313692165,419066.2905802564,0.01991953202176978,0.714,1.0018321650452393,172297.17592499877,420258.69354592374,0.5381343341765938,2069979.4615718408,0.9828533357515395,2293321.9531838675,1528.8813021225783,1058,1.183897850377182,0,0.865103866570731,0,0.0,429,-223342.49161202653,198,323,979,59
337606.5769289665,9892.467463672712,467937.18197650043,0.020702916772248774,0.6726666666666666,1.002777673490536,196279.16093085805,429385.46710397355,0.5328656022457041,1870171.4204836143,0.9827112414721503,2650957.0438827565,1767.3046959218377,1083,1.3608661970456313,0,0.8740110308027946,0,0.0,491,-780785.6233991422,198,323,979,59
388501.12225264084,11069.955444308463,538009.4347522303,0.020160937820569186,0.6326666666666667,1.0026614567968506,223255.56061811588,443013.3886981796,0.5292499309730172,1681838.291919069,0.9827613909777653,3000619.002204781,2000.4126681365206,1099,1.581373502914417,0,0.8830735272006973,0,0.0,551,-1318780.7102857123,198,323,979,59
435714.9675623861,12036.961217752772,603276.8744166128,0.019562311979127067,0.6,1.0024122929759358,247444.06682847123,457521.15511297074,0.5292323325177279,1511468.3887742357,0.9828142912367188,3346506.4943839377,2231.004329589292,1125,1.7607415326319904,0,0.8909400667234434,0,0.0,600,-1835038.105609702,198,323,979,59
475961.76572055224,13250.67500694134,658878.7140878385,0.019714470490253783,0.5613333333333334,1.0035386968590705,271276.4725094187,469095.3140482667,0.5255377604273217,1369382.284403269,0.9828230963085978,3686537.2723786994,2457.6915149191327,1152,1.9478296137384037,0,0.8965602518109673,0,0.0,658,-2317154.98797543,198,323,979,59
524251.61715323746,14394.680864405462,725615.3762143163,0.019452007073025718,0.5273333333333333,1.003343996678519,297809.9857342334,481604.76578048756,0.5238148463977069,1243728.7727980549,0.9827429657818338,4017654.976885536,2678.436651257024,1163,2.119808772770356,0,0.9018244493292977,791,0.5273333333333333,709,-2773926.2040874814,198,323,979,59
565772.1619712906,15230.550883363474,783127.7895050725,0.01907733672069255,0.49466666666666664,1.004322894128541,318922.537034163,487968.6721423442,0.5195654414136774,1127608.3292681226,0.9828921666189274,4340312.920620992,2893.5419470806614,1171,2.393731336564031,0,0.9040632188546804,742,0.49466666666666664,758,-3212704.5913528698,198,323,979,59
604292.5083881036,16002.449627781072,836024.7536074896,0.018781618200707034,0.4646666666666667,1.0056676288608632,337623.25772195775,494376.81391273276,0.5161768180833435,1024630.4799390894,0.9829265786101969,4643980.780086383,3095.9871867242555,1171,2.6335600169848115,0,0.9051006370823594,697,0.4646666666666667,803,-3619350.300147294,198,323,979,59
636315.6651093507,17027.14385172619,880640.2268112842,0.01896821072949334,0.432,1.0059624940804164,357280.68319280044,496237.184147428,0.5097247550049202,940068.0695070652,0.982931841379234,4930288.248320205,3286.85883221347,1171,2.844440969584771,0,0.9044485142825507,648,0.432,852,-3990220.1788131404,198,323,979,59
676753.4802627692,17789.966874544552,936691.3317946855,0.01863836085562695,0.39866666666666667,1.0064717954450335,376805.73446855927,496677.77513042855,0.5008719348690389,849856.9811829855,0.9830709959341316,5199269.401810609,3466.1796012070727,1169,3.1790124991517317,0,0.9021077297256005,598,0.39866666666666667,902,-4349412.420627623,198,323,979,59
713700.8248658397,18460.256984047628,987575.1604038917,0.01834951003213949,0.372,1.007719452433972,394782.33776860265,503901.56480928167,0.49761542036148393,763454.6581485918,0.9831391029863878,5448090.267480614,3632.0601783204092,1168,3.4325007972366413,0,0.9019359352654894,558,0.372,942,-4684635.609332022,198,323,979,59
744017.6087188824,19182.30631862087,1029108.4508016531,0.018298650625629832,0.346,1.0078973377705682,410911.3443284725,507806.9952393026,0.4926572585651527,693146.614750148,0.9831495449858041,5681747.219728904,3787.831479819269,1168,3.6459560770186967,0,0.9001384345424894,519,0.346,981,-4988600.604978756,198,323,979,59
773548.058699376,19837.82322307193,1069684.9610618337,0.018207809427401956,0.32,1.0079653889429898,425427.6448915813,511043.09912542615,0.48688238820764984,624672.7083204556,0.9832112895680009,5902748.043800882,3935.1653625339213,1168,3.905981251719036,0,0.8964127876361115,480,0.32,1020,-5278075.335480426,198,323,979,59
803754.5406354237,20599.670985782912,1110988.127618238,0.01820421801224405,0.2906666666666667,1.0084588162822443,440821.3672860969,512436.22488400975,0.47848746550344934,565736.2579894165,0.9832404059167341,6110494.45277361,4073.66296851574,1171,4.1819346474084655,0,0.8904504225499875,436,0.2906666666666667,1064,-5544758.194784193,198,323,979,59
837166.9513393338,21106.186378747047,1156637.923155544,0.017920859215413906,0.26866666666666666,1.0093070167509046,455944.53390090074,520884.0188499874,0.47547660169166994,499825.9411714878,0.983296626853787,6302350.017602105,4201.566678401403,1176,4.4594097329451685,0,0.8868039766900108,403,0.26866666666666666,1097,-5802524.076430617,198,323,979,59
861280.5325514155,21785.686307578108,1189593.8711782594,0.01798419510462377,0.24066666666666667,1.0095402000181188,468687.376750229,517722.07690913393,0.46539051301300793,456132.65898041695,0.9833766801356092,6484651.722279275,4323.101148186183,1176,4.774369136371435,0,0.8749515287920079,361,0.24066666666666667,1139,-6028519.063298858,198,323,979,59
893376.3578601679,22460.683351745243,1233870.134121683,0.017878000793545203,0.21333333333333335,1.009907547459171,484561.2369587708,517039.1194858621,0.45688376971404493,411209.9669131695,0.9834490125950534,6650159.940199087,4433.439960132725,1179,5.103856334317228,0,0.8619064080865327,320,0.21333333333333335,1180,-6238949.973285918,198,323,979,59
925898.0124591542,22916.92552432361,1278153.231585805,0.017613904522432153,0.192,1.0094794382333276,498640.7984212949,519536.47862456355,0.45138908952579115,363838.0692759216,0.9835194935459936,6800230.791879465,4533.48719458631,1180,5.3810559590858,0,0.8475980488839162,288,0.192,1212,-6436392.722603544,198,323,979,59
949255.1725968708,23545.728957530257,1309931.546323184,0.01765739048876823,0.16866666666666666,1.010297311442459,510960.6075511559,517285.0656464978,0.44358642720455516,326568.79384183494,0.9835359169864598,6937768.434321127,4625.178956214085,1180,5.630697416638078,0,0.827129790849995,253,0.16866666666666666,1247,-6611199.640479293,198,323,979,59
976651.735855342,24000.26478649028,1347195.4558786876,0.017503164883600687,0.148,1.0100743477926242,523202.1336954257,520219.9679033591,0.4380068384824935,284281.23311831796,0.9835918699044571,7061576.461939436,4707.7176412929575,1181,5.903109828916995,0,0.8036115822139642,222,0.148,1278,-6777295.228821118,198,323,979,59
999844.2973618964,24541.4814330205,1378535.3952574756,0.01749118800311759,0.12666666666666668,1.0099424541930573,534291.5807288374,520263.38116438146,0.4309456399246456,256331.28836036185,0.9836151019193208,7175128.204194716,4783.418802796477,1181,6.1394872946788235,0,0.776719840205701,190,0.12666666666666668,1310,-6918796.915834355,198,323,979,59
1024764.4484208471,24981.22535033035,1412287.5869483198,0.017381039048900964,0.106,1.0096287686065912,545322.9693012855,520079.32946207677,0.42478012290684464,230206.2637695807,0.9836819792921129,7275372.77418096,4850.24851612064,1182,6.436560762460663,0,0.7448087085332984,159,0.106,1341,-7045166.51041138,198,323,979,59
1047394.5238013951,25456.720346652088,1443350.6275360736,0.01733155841257722,0.08333333333333333,1.009682556778475,556054.5192043002,520477.19190299447,0.4183283841295902,210296.67913072658,0.9837312886639669,7362169.326224247,4908.112884149498,1182,6.772415776645528,0,0.7111285708881651,125,0.08333333333333333,1375,-7151872.6470935205,198,323,979,59
1071124.457973946,25936.53825916572,1476049.1347046907,0.017268166218912966,0.066,1.009965667349665,568184.9604582186,523335.735953,0.4146808479586089,196134.73541481298,0.9837252330189677,7434954.561905136,4956.636374603424,1182,7.012838180230396,0,0.6865503427350459,99,0.066,1401,-7238819.826490323,198,323,979,59
1090124.2581578093,26281.166789463212,1502310.2819120355,0.01719306150233172,0.050666666666666665,1.0102256138702437,577189.4907995838,523945.34623459465,0.41171158313100076,182596.01457849386,0.9837477319640748,7497111.769954643,4998.074513303095,1182,7.245227303095913,0,0.657106463071285,76,0.050666666666666665,1424,-7314515.75537615,198,323,979,59
1106302.2131046376,26679.38716527004,1524393.9126312872,0.01720059726949679,0.03333333333333333,1.0109084754855069,584907.8742931056,523029.6369709298,0.4076159842208109,175503.46310205068,0.9837759095812302,7550924.2856409475,5033.949523760632,1182,7.483133093733155,0,0.6315763968754647,50,0.03333333333333333,1450,-7375420.822538896,198,323,979,59
1125225.7788911292,26869.395629038092,1550339.9256976887,0.017036036539801784,0.023333333333333334,1.0121204439635896,592656.9721380991,526574.6960025305,0.40667467735876656,163961.87377544295,0.9837956025707815,7593831.208252884,5062.554138835257,1182,7.65601939510703,0,0.6043924737726342,35,0.023333333333333334,1465,-7429869.334477441,198,323,979,59
1134708.831664718,27069.835281397493,1563589.085165397,0.017018001114779493,0.012,1.013032246262753,597074.9330886097,526648.8293885554,0.4037439279698377,160985.20366319723,0.9838328998575467,7631316.762763029,5087.544508508686,1182,7.875297016779267,0,0.5894337163388166,18,0.012,1482,-7470331.559099832,198,323,979,59
1146064.1588522615,27274.63938012478,1579253.0281701698,0.01697738540769383,0.0,1.0139528360126115,602072.4718777924,525477.5068709685,0.40000224509591875,159140.36998336992,0.9838792686045484,7662684.604504541,5108.456403003027,1182,8.111376123443891,0,0.572866538531961,0,0.0,1500,-7503544.234521171,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.015168424259413,606494.489148059,531303.0889804779,0.4033055410872596,150970.57506871512,0.9838792686045484,7686819.237343091,5124.546158228727,1182,8.13626244784525,0,0.5625118850739108,0,0.0,1500,-7535848.662274376,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0154598562361747,606494.489148059,531676.4366301033,0.4039782863232086,150123.56336989673,0.9838792686045484,7713066.600919122,5142.044400612748,1182,8.16408323694588,0,0.5603623599218739,0,0.0,1500,-7562943.037549225,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.016554303441964,606494.489148059,531870.5822080149,0.4045973642205331,149929.41779198506,0.9838792686045484,7739413.144026764,5159.608762684509,1182,8.192006773600658,0,0.5601896501869718,0,0.0,1500,-7589483.726234779,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0171374068664392,606494.489148059,532061.9081517424,0.40521476147209856,149738.09184825758,0.9838792686045484,7765859.204355011,5177.239469570007,1182,8.22003344012776,0,0.5602187516726133,0,0.0,1500,-7616121.112506753,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0174715841959703,606494.489148059,532250.4601926823,0.40583077218189473,149549.53980731766,0.9838792686045484,7792405.121723522,5194.936747815682,1182,8.248163620635909,0,0.5606016836860498,0,0.0,1500,-7642855.581916205,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0170332968563078,606494.489148059,532366.5394725652,0.4064278458254932,149433.4605274348,0.9838792686045484,7819120.981925621,5212.747321283747,1182,8.276420229659605,0,0.5608279477840347,0,0.0,1500,-7669687.521398186,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.017161102602989,606494.489148059,532453.1383615041,0.4070190522188324,149346.86163849596,0.9838792686045484,7845964.481526294,5230.642987684196,1182,8.304789996169081,0,0.561029132312177,0,0.0,1500,-7696617.619887798,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0176314540225764,606494.489148059,532513.452815489,0.4076031771138421,149286.54718451097,0.9838792686045484,7872932.881710545,5248.621921140363,1182,8.333271713933744,0,0.5611870654586671,0,0.0,1500,-7723646.334526034,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0183406122673082,606494.489148059,532533.452815489,0.40817779422856576,149266.54718451097,0.9838792686045484,7900040.7139427895,5266.693809295193,1182,8.361870954025923,0,0.56118285820822,0,0.0,1500,-7750774.166758278,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0187280220400898,606494.489148059,532553.452815489,0.408754506407817,149246.54718451097,0.9838792686045484,7927248.196833929,5284.832131222619,1182,8.390575031890949,0,0.5611918220436813,0,0.0,1500,-7778001.649649418,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0196266610917961,606494.489148059,532563.1451988379,0.4093303219736546,149236.85480116212,0.9838792686045484,7954566.024597064,5303.044016398042,1181,8.419387842875867,0,0.5612013830106479,0,0.0,1500,-7805329.1697959015,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0190986620268225,606494.489148059,532563.1451988379,0.4099054287570827,149236.85480116212,0.9838792686045484,7981994.00583036,5321.32933722024,1181,8.448309598315895,0,0.5612013830106479,0,0.0,1500,-7832757.1510291975,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0193278250848732,606494.489148059,532563.1451988379,0.4104826563156479,149236.85480116212,0.9838792686045484,8009522.871548314,5339.681914365542,1181,8.477337437614503,0,0.5612013830106479,0,0.0,1500,-7860286.0167471515,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0198628626586426,606494.489148059,532563.1451988379,0.41106105429694434,149236.85480116212,0.9838792686045484,8037153.013303222,5358.102008868815,1181,8.506471771691418,0,0.5612013830106479,0,0.0,1500,-7887916.15850206,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.020292363928046,606494.489148059,532563.1451988379,0.4116411156871673,149236.85480116212,0.9838792686045484,8064884.824233367,5376.589882822244,1181,8.535713013128388,0,0.5612013830106479,0,0.0,1500,-7915647.969432205,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0210049052964123,606494.489148059,532563.1451988379,0.4122227005103879,149236.85480116212,0.9838792686045484,8092718.699069653,5395.1457993797685,1181,8.565061576176138,0,0.5612013830106479,0,0.0,1500,-7943481.844268491,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0208467781583292,606494.489148059,532563.1451988379,0.41280609615345254,149236.85480116212,0.9838792686045484,8120655.034142277,5413.770022761518,1181,8.594517876761339,0,0.5612013830106479,0,0.0,1500,-7971418.179341115,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0213067842978245,606494.489148059,532563.1451988379,0.41339164794469685,149236.85480116212,0.9838792686045484,8148694.227387426,5432.462818258285,1181,8.624082332493629,0,0.5612013830106479,0,0.0,1500,-7999457.372586264,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0212736737874084,606494.489148059,532563.1451988379,0.41397936429211296,149236.85480116212,0.9838792686045484,8176836.678354004,5451.224452236003,1181,8.653755362672644,0,0.5612013830106479,0,0.0,1500,-8027599.823552842,198,323,979,59
1158480.8787419538,27274.63938012478,1596091.7653301286,0.016801283617171377,0.0,1.0215207860225506,606494.489148059,532563.1451988379,0.41456925363790353,149236.85480116212,0.9838792686045484,8205082.788210384,5470.055192140256,1181,8.683537388295102,0,0.5612013830106479,0,0.0,1500,-8055845.9334092215,198,323,979,59
