Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Gini Coefficient,Long-term Unemployed,Long-term Unemployment Rate,Employed Workers,Net Worker Wealth,High Skill Workers,Medium Skill Workers,Low Skill Workers,Firm Owners
0.0,0.0,0.0,0.0,1.0,1.0,0.0,106292.89224028215,0.4541265314527222,5342864.003041529,0.0,45989.017648063884,30.659345098709256,181,0.0,0,0.6671889792055128,0,0.0,0,5296874.9853934655,198,305,997,60
0.0,1318.604308683951,0.0,1.0,0.9626666666666667,1.0001924328287426,9216.938003701764,172694.35398861344,0.47473198999159405,4689784.318277072,0.9800461062850097,152814.37060072494,101.87624706714996,352,0.04492912873024293,0,0.7174675281186522,0,0.0,56,4536969.947676348,198,305,997,60
45228.88146817263,2373.075953220025,62790.58463354754,0.0364171676644868,0.9266666666666666,1.0005218034586272,33143.349261150324,237620.22182434256,0.496578487436104,4124235.019070976,0.9811493151569356,326538.66274967836,217.69244183311892,520,0.1299251468543253,0,0.7600053332034696,0,0.0,110,3797696.3563212976,198,305,997,60
86590.8847845643,3416.842979201337,120160.42761128645,0.027649445265093473,0.89,1.001477610104956,55621.4632237477,301184.42771384015,0.5181263821232328,3645373.4184490736,0.9816886342100236,564281.9239807306,376.18794932048706,685,0.2913512971020197,0,0.793821153580576,0,0.0,165,3081091.494468343,198,305,997,60
128364.38989415408,4449.772504203733,177883.2081716665,0.024404649601566082,0.8546666666666667,1.0017745589831706,78299.63267755303,371966.4782328216,0.5450438718773349,3247909.3951949407,0.9819504411699611,861740.997065202,574.493998043468,862,0.49184115233144887,0,0.818816741994892,0,0.0,218,2386168.398129739,198,305,997,60
169364.9406926257,5588.284527172605,234972.56655579837,0.02323023260856842,0.8173333333333334,1.0017695092072172,101629.10768930663,393606.55950541765,0.5479695234847857,2943903.0656447443,0.9820809617281844,1219002.8288127508,812.6685525418338,978,0.5680763161743303,0,0.8315404328461048,0,0.0,274,1724900.2368319933,198,305,997,60
214354.18156086197,6708.9468331799535,297181.17595426005,0.022076883485524192,0.7786666666666666,1.0024519084719647,126084.94209593887,399178.2186664387,0.5423173650068911,2678452.386682144,0.9823178843411111,1584922.6779501217,1056.6151186334146,1002,0.7199828589538647,0,0.8401116920063677,0,0.0,332,1093529.708732022,198,305,997,60
260845.42393915102,7728.688478396397,361455.1287394233,0.020934526699030377,0.7426666666666667,1.0018883490126926,150605.3942019913,403023.51822308986,0.5371254211461913,2426464.9585744953,0.9825289808950147,1947292.38887068,1298.1949259137866,1020,0.9070037878105214,0,0.848960253111921,0,0.0,386,479172.56970381533,198,305,997,60
303822.9085763674,8660.421159324087,421238.66939714865,0.020145241870862786,0.708,1.0019066858862837,172745.61097521312,413202.94424535707,0.5346780418849392,2187101.109447491,0.9826866373401376,2301756.442929565,1534.5042952863766,1038,1.1054562674539097,0,0.8578025516916405,0,0.0,438,-114655.33348207387,198,305,997,60
343358.818366434,9557.771703990404,476604.8044579541,0.019659620408146422,0.6773333333333333,1.0017356072229167,194336.57864317182,419847.09861030325,0.5327460518885315,1967913.1402605134,0.9826992062841285,2651788.3600278264,1767.8589066852176,1059,1.2924928291503672,0,0.8663036519070647,0,0.0,484,-683875.219767313,198,305,997,60
