,Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Total Debt Payments
0,9309.584073177246,44170.812958379705,30132.817430449322,0.5944637257592253,0.946,0.9996734860691964,13547.946272424057,0.0,0.19933333333333333,1143731.825291963,0.3598455369869011,763059.3018640226,508.70620124268174,661,0.023791802580983536,0,14065.18834955367
1,25944.097679272796,78629.28198649883,53763.32126532658,0.5939099319388502,0.9,0.999579459539526,26165.61918520444,0.0,0.20786666666666667,933791.833116294,0.3623454440577411,979045.1319354393,652.6967546236262,740,0.028088450569871533,0,18254.4402947338
2,44586.92056787898,115094.66806983098,80292.75801765376,0.5890587248858958,0.85,0.9991074961990688,39810.477628580375,0.0,0.21826666666666666,768011.2872736107,0.3659193567405523,1209706.0508132484,806.4707005421656,803,0.030792248033150796,0,22477.485615132053
3,64074.41032341121,154170.540012411,108506.3167491758,0.5869209107840844,0.798,0.9998012174801552,54265.301573704,0.0,0.22733333333333333,647052.3324033327,0.3676418327168642,1453822.783960268,969.2151893068452,897,0.03547753381444418,0,26775.090817932854
4,82660.97322468972,189381.26916703503,132905.05456718974,0.5876180750481034,0.752,1.0004072225235507,67423.1108426235,0.0,0.23413333333333333,575725.5446384281,0.3665922134002337,1714755.6553257664,1143.1704368838443,976,0.03898161162753683,0,32180.305744790563
5,99457.20203649874,227889.00917515229,159129.4451488235,0.5888324100028183,0.7026666666666667,1.001727237380672,81614.77269507393,0.0,0.23786666666666667,543079.7625556058,0.3650639021332407,1985462.298403002,1323.641532268668,1047,0.04265073146968952,0,37567.42047799118
6,120005.73239292875,264497.14885921567,183308.84629704524,0.5906512010115451,0.6546666666666666,1.0030639311059204,96156.5026639514,0.0,0.24213333333333334,550482.1158567877,0.36314073654756507,2264093.3467077054,1509.3955644718037,1099,0.046389992119909296,0,43003.520802905114
7,134056.94026998366,294478.8206582551,205535.47023422088,0.5889408083369768,0.616,1.0029021871612893,107028.38207740159,41.88868004971505,0.2424945924533665,590104.7146368335,0.36451023243662556,2544614.802623243,1696.4098684154953,1160,0.04994719277663122,0,48346.75719051435
8,142395.9587165705,314665.32595450716,221409.43640733074,0.5869803020909897,0.5866666666666667,1.002879167477321,114914.55039944155,999.9312835039855,0.24274927074595284,657185.5931336376,0.36656800617560026,2828449.014553941,1885.632676369294,1196,0.054262831475450385,0,54111.434348092196
9,152673.3281954537,327095.0733974485,230757.62661235718,0.5863466707102053,0.57,1.0034100579853455,121008.70170082294,2952.131870942607,0.24103739035680916,740389.183979802,0.36717108683633204,3113697.2521195575,2075.798168079705,1222,0.0562121834638752,1,59579.647081883704
10,154145.51327958272,339590.9102742137,239774.75796244974,0.5861426192335152,0.554,1.0041496515543626,124804.02095775481,6260.7670991159,0.24086666666666667,834157.6519224494,0.3676724602731948,3402189.0010061315,2268.1260006707544,1229,0.058192969080846826,2,65036.35845009039
11,151225.0017735203,344446.4657603343,243964.47206459517,0.5853841994059223,0.5466666666666666,1.0047164552394114,125529.33281636171,11918.303241653355,0.2424359618058379,935876.7126817787,0.3684078269109677,3690169.7475434234,2460.113165028949,1233,0.059922748639565336,6,70396.02648501126
12,144676.47561820556,348158.77727390424,245620.70867434572,0.5863435593735677,0.542,1.004946139861322,125018.58733098143,24465.96469766675,0.24635733818147412,1040675.4911449003,0.36751161332399945,3976030.964478342,2650.687309652228,1238,0.061268229793542295,7,75918.81220620059
