,Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Total Debt Payments,Gini Coefficient,Long-term Unemployed,Long-term Unemployment Rate,Employed Workers,Net Worker Wealth
0,6467.396190865181,36265.52674934394,25816.949575712406,0.5841507764519899,0.9526666666666667,1.0013483717129716,11226.543970783563,0.0,0.2072,1037072.7922292732,0.358743532419402,813800.7662630023,542.5338441753348,707,0.024177412678541885,0,15102.771166012953,0,0,0.0,71,223272.02596627103
1,22160.576470419826,70964.2011140365,50064.083303309475,0.5863439398126823,0.9086666666666666,1.0026481352454928,23763.49930090489,0.0,0.21866666666666668,838078.0024311853,0.3541920393480637,1051584.1957867858,701.0561305245238,799,0.026300474077658398,0,19437.472613307455,0,0,0.0,137,-213506.1933556005
2,42646.67802932411,108766.56869010505,77628.15594416216,0.5835281492194612,0.8606666666666667,1.0040225417573856,38280.52145791739,0.0,0.2272,685651.0336981145,0.3571571577633913,1306827.571060784,871.2183807071893,883,0.026864014494031696,0,24193.326482146273,0,0,0.0,209,-621176.5373626695
3,60202.42843958053,140198.86161799674,99334.69966951715,0.5852994497489854,0.8206666666666667,1.0036496105666126,50272.48850497258,0.0,0.234,581731.2834306037,0.3575788218576973,1578725.2825455691,1052.4835216970462,956,0.03246646042442716,0,29249.215412784135,0,0,0.0,269,-996993.9991149654
4,78847.85831294085,170216.47697642058,122442.01092802925,0.5816215282025056,0.7766666666666666,1.003833173334683,62418.746384124344,0.0,0.23906666666666665,517169.72145075764,0.36187977889428635,1864851.5519549504,1243.234367969967,1032,0.03920045484087494,0,34598.32419407983,0,0,0.0,335,-1347681.8305041927
5,96109.33159814907,201656.7113916557,145987.61595151434,0.5800661639808503,0.7346666666666667,1.0038842558775856,74759.94536039194,0.0,0.24333333333333335,489823.89670401573,0.3647453424827933,2164987.0275358935,1443.324685023929,1101,0.04232387533005993,0,40406.556960927126,0,0,0.0,398,-1675163.130831878
6,121315.3664465597,243048.21184249243,177153.65409329525,0.5784082164919119,0.6813333333333333,1.0052336019376213,91163.02720730541,0.0,0.2469333333333333,498397.84213437146,0.3657954931779809,2476661.925583642,1651.1079503890946,1153,0.04737708824073647,0,46415.73699503086,0,0,0.0,478,-1978264.0834492703
7,134559.19344224088,269167.0096942597,195060.6404772579,0.5798168411442336,0.6473333333333333,1.006623188021489,101010.69522945824,0.0,0.24733333333333332,539760.1384255522,0.3640109238107034,2786841.052523682,1857.894035015788,1199,0.04993525916013492,0,52430.44774356989,0,0,0.0,529,-2247080.9140981296
8,145589.11055341546,290935.65586887376,212108.23172418113,0.5783504442543403,0.6186666666666667,1.006178696213523,108866.51235154242,339.7793508764046,0.2475957826395096,604671.9126688356,0.3647457009829105,3101311.636051594,2067.5410907010623,1226,0.053794866142114955,0,58536.93279266761,0,0,0.0,572,-2496639.7233827584
9,155951.23818535998,309002.6317519091,224032.31792395902,0.5797042613055855,0.596,1.005719109693116,115876.35939960074,3231.02604790682,0.248662132825918,684597.1990772717,0.36397214635597225,3413588.6396191604,2275.725759746107,1257,0.05637218487536146,0,64544.22994475451,0,0,0.0,606,-2728991.4405418886
