,Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Total Debt Payments
0,6115.706680614123,34597.11222662909,26745.99548507579,0.563993470777934,0.956,0.9996171101029113,10911.312981005416,0.0,0.20653333333333335,1072389.359526872,0.36718554742286685,838366.5451451935,558.9110300967957,722,0.025234288469127373,0,15526.123026648116
1,26802.132716728498,75116.53107280955,58311.38024475379,0.5629746454924971,0.904,1.0001838628084014,26560.20779495243,0.0,0.21613333333333332,873299.9045727445,0.3720972977441367,1077704.8669510637,718.4699113007092,793,0.02232379614440794,0,20019.540963594496
2,44553.17424496121,112497.07459597358,87838.05168507212,0.5615444314950236,0.854,1.0000363916462682,40926.02338596239,0.0,0.22426666666666664,722778.9320478557,0.37429510464070087,1330297.1350875543,886.8647567250363,868,0.025433772537141866,0,24394.274686965873
3,63570.273370497685,148336.16997912215,115633.85935998938,0.56194322647349,0.806,1.000117069283311,54907.65120124434,0.0,0.23266666666666666,621358.736083031,0.3745656709522021,1600512.21646698,1067.00814431132,941,0.032011565995917354,0,29417.697379023404
4,82537.62014477915,186532.6271696407,144646.71567916885,0.5632375061955384,0.756,1.0014164865068205,69945.42266301303,0.0,0.23613333333333333,561143.3000685676,0.3737690160773766,1882480.3093789367,1254.986872919291,1027,0.03536706198675977,0,34861.90026014987
5,94087.75456410485,216773.29875791498,166324.74144261816,0.5658428809618675,0.716,1.0026883081076627,80282.43957887165,0.0,0.24026666666666666,541873.1949227991,0.3719616309102797,2174090.6045088978,1449.3937363392652,1081,0.04089035992931175,0,40775.19656932863
6,107606.74081133948,246137.20838185007,188539.96199709948,0.5662529002092951,0.678,1.0036697411544098,91220.39348414163,0.0,0.24439999999999998,552243.3871670308,0.3710938953099236,2471756.1598652513,1647.8374399101674,1137,0.044898164059031694,0,46418.49854387966
7,128513.96610558976,274396.97055453516,210513.39692685474,0.5658715279274084,0.6413333333333333,1.004757512266217,104214.3649202206,493.4495518628523,0.24706666666666666,593420.1700605806,0.37061991761914825,2777384.9614221766,1851.589974281451,1196,0.0481828447313513,0,52400.536059341954
8,138616.40090416247,299328.09746815177,229613.71438406003,0.5658998603645746,0.6093333333333333,1.0059632551234894,113567.68092715289,2092.51062699836,0.24586666666666668,661528.0255365414,0.3707756516434449,3087859.0180079965,2058.5726786719974,1225,0.05246204065740716,0,58617.08025540362
9,152301.8926776464,322159.6399509287,248683.62228968533,0.5643574362013515,0.5786666666666667,1.006585576710427,122937.78039797331,5212.390597818561,0.2460605815421166,745534.4940949882,0.3725724258406551,3394692.2694691387,2263.1281796460926,1240,0.056259893160236496,2,64447.145103793366
10,155150.8446450504,337382.04086082644,261587.8828001101,0.5632704206560643,0.5586666666666666,1.0062264371440568,127519.35977367818,10920.029870121272,0.24514720935906928,841626.9905585235,0.3734958069812494,3695040.55057586,2463.360367050573,1252,0.06018675342554108,4,70222.95837136674
11,156441.9186950615,343854.3157176795,268197.3829795904,0.5618059984958151,0.5493333333333333,1.0063806849373047,129218.87687145553,19576.04066669481,0.2445568011626415,944989.9040415162,0.37482809178246784,3991371.901554956,2660.9146010366376,1249,0.06255762882154464,9,76053.0076140741
12,153950.50673824674,349725.0240199532,273565.8420298464,0.5610944152549332,0.5406666666666666,1.006428948352558,130000.40954432328,35305.24611567371,0.2506067148302039,1050887.5666340648,0.37566392873434057,4283335.859896213,2855.5572399308085,1254,0.06425486669882022,13,81652.55163461308
13,160974.9937450869,351548.20982584514,274998.5694913057,0.5610885275142329,0.538,1.0060292086814935,132201.75410856065,60023.9635441329,0.25674531095453246,1160121.3220103693,0.37583749028796737,4570665.490454235,3047.11032696949,1249,0.06487890376813003,23,87481.63298351334
14,154122.86446018843,352063.7261915887,275329.2372822023,0.5611534503706558,0.5373333333333333,1.0065446799113984,130553.75146241832,91247.77990509452,0.2622821336230756,1271364.2604031637,0.37583010644825576,4858261.081581197,3238.8407210541313,1243,0.06498500727736392,42,93101.8690117565
15,155727.57415674152,352063.7261915887,275329.2372822023,0.5611534503706558,0.5373333333333333,1.006460004041042,131145.30396499357,129463.14218175893,0.271134202069629,1384310.7133358566,0.37583010644825576,5145205.076230442,3430.1367174869615,1233,0.06491849870821355,55,98783.45463820873
16,158516.0820464325,353997.55851751764,276648.3961598217,0.5613253456904123,0.5353333333333333,1.0073325177702985,132756.1295310717,180774.57789412834,0.2814747446459082,1498304.1987667244,0.37581312512644743,5428258.817775607,3618.839211850405,1228,0.06511550247297347,69,104399.15458431741
17,150163.32345392625,355731.12838673574,278199.5889572332,0.5611514297290584,0.5333333333333333,1.0068358800016197,131597.65747345783,241684.78763696435,0.2859421859253975,1613272.138084631,0.37579134168031725,5707403.212118425,3804.935474745617,1224,0.06515099795747839,91,110046.3228128622
18,150076.3209847019,355707.2524516224,278657.14823150606,0.5607301608800425,0.5326666666666666,1.006440816908972,131913.47003441612,311798.1270768454,0.295949043400623,1729393.4917633997,0.3761587620284688,5981520.623408737,3987.6804156058242,1222,0.06656392866638013,117,115669.65628531192
19,144108.527742285,356006.1445803807,278822.2074814701,0.5607911861909018,0.5326666666666666,1.0075003191032652,130887.70155532514,397369.52434217563,0.31117212068078526,1845911.4327721493,0.37614680951487106,6249074.712658179,4166.049808438786,1215,0.06615977911558275,135,121244.34644473124
20,143957.26292352105,356129.9280570434,278732.3452219397,0.5609561995512468,0.5326666666666666,1.0083355568817083,131193.94385813235,502366.7446114037,0.32884601798402785,1963545.3229046124,0.376031213765702,6504235.589071186,4336.157059380791,1211,0.06602508303463181,159,126595.08941723309
21,142010.29400104305,356088.43599641504,278630.6130771615,0.561017408436307,0.5326666666666666,1.0090978511399082,130623.5756228999,624240.611645985,0.3449810374316775,2081675.8123526964,0.37593472249648907,6747278.76640486,4498.185844269907,1207,0.06615536270504005,188,131755.0266877382
22,141432.23359460605,356481.2979720963,278671.8358922372,0.5612525215820465,0.5326666666666666,1.009501874014588,130820.99259507275,767898.3042795921,0.36585523698725286,2200223.320389771,0.37588510040954065,6972613.323126041,4648.408882084028,1200,0.0660343713998844,221,136672.030945101
23,138672.97931742822,356262.6326173762,278790.13740073674,0.5609968957496475,0.5326666666666666,1.0090745781837236,130658.80237659445,932564.2049521268,0.3787734018855143,2320583.773125186,0.37602101455082154,7187353.721641563,4791.569147761042,1188,0.06616128729099048,272,141170.96948443723
24,133774.60201086238,355963.6761146605,278703.53406073805,0.5608666564265788,0.5326666666666666,1.009858588987843,129841.4631509617,1108499.975604486,0.3934197334271488,2441626.501370568,0.3760956166992416,7391141.36487904,4927.427576586027,1177,0.06639645198694101,304,145345.25178207358
25,134924.3419395542,354875.8991365509,278244.0087173019,0.5605192550957808,0.534,1.0105312156717956,130165.07389443011,1300290.9622554702,0.40805049483146416,2563717.7895064536,0.37634953611940475,7583912.679985452,5055.941786656968,1170,0.06617209055376747,334,149302.48393887558
26,131770.5140026539,355385.545448873,278446.3604473302,0.5606936825724756,0.5333333333333333,1.0102298197824657,129691.82374900626,1520390.0795074347,0.4261464891828497,2686797.0123050725,0.3762155166012066,7761722.315842855,5174.481543895236,1163,0.06780174091130013,369,153112.4736268253
27,125647.38646623553,355693.7705200795,278664.39758095297,0.560714417195664,0.5326666666666666,1.0115692415483915,128408.1628802999,1759610.6558671417,0.44315127580320396,2810306.94159904,0.3761025452916659,7923499.090774358,5282.332727182906,1159,0.06849980597071566,412,156616.03095268758
28,127797.7879550722,356164.15680546535,278879.9398459844,0.5608494885370922,0.5326666666666666,1.0120787531255455,129294.72539149199,2003202.1986535701,0.45649030647351035,2933747.459245548,0.37613248840495617,8072128.32402581,5381.418882683874,1155,0.06815298097032073,441,159851.91390628123
29,122912.5758136145,355854.657351038,278700.1594611815,0.5607941944853981,0.5326666666666666,1.0133291703870648,128075.16003536279,2280131.7766325823,0.4760711406221924,3058516.7830373663,0.3760384121543006,8202857.656456875,5468.57177097125,1152,0.06882268500977616,474,162822.3447460896
30,123719.57529701489,356271.0276719754,278928.2904779976,0.5608806834201583,0.5326666666666666,1.014525253285512,128175.65688848839,2577970.9463785305,0.48900511655494083,3183177.1272988324,0.37614214039034943,8318078.841650098,5545.385894433399,1146,0.06913111159136744,516,165449.41860093098
