,Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Total Debt Payments,Gini Coefficient,Long-term Unemployed,Long-term Unemployment Rate,Employed Workers,Net Worker Wealth
0,5549.830496641636,37150.49204682978,24263.973810468204,0.6049143557342382,0.9546666666666667,0.9995236200515605,11474.314945614116,0.0,0.20320000000000002,1092017.8455358075,0.34005542048385506,800156.6741854262,533.4377827902841,682,0.017668898196766637,0,14841.844304064856,0,0,0.0,68,291861.17135038134
1,18412.415295705156,78822.91076362498,50699.66132012545,0.6085650516008699,0.9026666666666666,0.9998474895541263,24540.029753214672,0.0,0.21333333333333335,888829.6838361815,0.3423679804507123,1031352.561883732,687.5683745891547,768,0.02063096524421429,0,19095.0528075482,0,0,0.0,146,-142522.87804755048
2,35317.5797289985,120891.01769137425,76474.45556319405,0.6125236379893313,0.8506666666666667,1.001224386910554,39430.19144530624,0.0,0.2208,737730.5508110059,0.34023689541179847,1278347.723719438,852.2318158129588,848,0.023654254615249382,0,23672.65612508252,0,0,0.0,224,-540617.1729084323
3,52032.31705112054,155267.8354271744,99630.9468154401,0.6091352577721982,0.8086666666666666,1.000809915756816,52048.68742071033,0.0,0.22813333333333333,636009.2246100202,0.3416900133921297,1538406.0051906651,1025.6040034604434,918,0.025771655904110465,0,28564.729381387137,0,0,0.0,287,-902396.7805806451
4,65639.4009400594,193830.69374807496,125459.23792270003,0.6070679796691395,0.7586666666666667,1.001922671447354,65012.113868242675,0.0,0.23359999999999997,576929.3532883449,0.3436475832778825,1812756.827930235,1208.5045519534901,976,0.03223464794225597,0,33681.60688673536,0,0,0.0,362,-1235827.4746418903
5,83396.3118107324,229192.02212599322,150673.1208250074,0.6033510217481498,0.7126666666666667,1.002115815556365,78363.7236433091,0.0,0.23906666666666665,558749.1034375505,0.34727465731276275,2095755.3206698569,1397.1702137799045,1044,0.038337305740894646,0,39030.118936094965,0,0,0.0,431,-1537006.2172323063
6,91533.07535643979,258886.49857410925,171421.25594785134,0.601631032333388,0.674,1.0016144771152318,88646.3472635782,0.0,0.2428,576072.0585631981,0.34965598935454306,2385683.1204037615,1590.4554136025076,1112,0.0408505306084969,0,44820.488379510956,0,0,0.0,489,-1809611.0618405635
7,102655.1570671071,280989.23994996125,188317.59305974364,0.5987324713513187,0.6426666666666667,1.0011551919840418,98272.34674891512,490.77340564445655,0.24446666666666667,629253.9617899708,0.3517638023794383,2688279.7144451006,1792.1864762967336,1170,0.04694721347783073,0,50792.86674453192,0,0,0.0,536,-2059025.7526551299
8,113025.00223926903,301105.4440685228,202351.73637321882,0.5980755777568371,0.618,1.0012686117997145,106269.07306415883,1295.9455928096843,0.2454519015906936,700876.3592673736,0.3521493836597222,2994032.203247101,1996.0214688314006,1198,0.05158540171078152,0,56859.57296747416,0,0,0.0,573,-2293155.8439797275
9,113142.3596038741,312643.73755221744,210816.15633062384,0.5972639761054781,0.6006666666666667,1.001540457351554,110245.7442200805,4810.739406314019,0.2476,788684.8646186093,0.3527866911012926,3299898.704725031,2199.932469816687,1221,0.05511987679956514,1,62539.837462038195,0,0,0.0,599,-2511213.8401064216
10,115117.21537246571,318143.41620627063,214343.7318513736,0.597466844724354,0.5933333333333334,1.002883518983618,112733.03345613385,10119.573865419039,0.24532842159043172,886506.7604551252,0.353161124857208,3609311.833100096,2406.2078887333973,1231,0.056664573573813354,3,68329.98708778922,0,0,0.0,610,-2722805.0726449704
11,121148.09261315978,324094.4776343997,220239.86716159663,0.5953959744279276,0.5846666666666667,1.0032464192481556,116526.47642624985,19334.489763267997,0.24792094399524708,988671.8232123181,0.3552042131601447,3920586.050007228,2613.724033338152,1240,0.05854213548811514,10,74167.27571782407,0,0,0.0,623,-2931914.2267949097
12,121961.35793641888,331152.7237011026,224008.05543665626,0.5964987732300332,0.576,1.0036514485301473,119422.70115622535,35562.389935337604,0.2531927677532582,1094910.9086156967,0.3546697682548707,4230122.5887298575,2820.081725819905,1241,0.06101978561283033,14,80225.48405675616,0,828,0.552,636,-3135211.680114161
13,123554.42679019606,335285.9488710258,225501.24860163828,0.5978844566746186,0.572,1.0035367647097413,122165.80479737566,58350.8745203791,0.2574532523024602,1203404.7947426566,0.35381140533137284,4535375.62059095,3023.5837470606334,1239,0.06205093618325115,25,86243.0137308957,0,816,0.544,642,-3331970.8258482935
14,122692.20329289943,336294.80789896427,226081.25750520872,0.597989190128981,0.5706666666666667,1.0042703203958765,122821.67452271706,86172.77068719758,0.2640134153229956,1314942.3389654264,0.3536604443927608,4840357.873544186,3226.9052490294575,1234,0.0624823326331908,37,92238.37916081054,0,807,0.538,644,-3525415.53457876
