,Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate
0,2830.462445120721,27177.020351105246,18294.985287965697,0.5976648702680912,0.892,1.0011881898420392,8111.610701858673,39511.9211261814,0.373058318843822,288661.98451711243,0.3636954622445365
1,15898.21357813011,58361.961787319204,38268.35075265667,0.6039715722038559,0.772,1.0006599052591616,19076.36317451787,90903.45384662139,0.46050899061198286,218281.68704804574,0.3568426162184227
2,24892.469666873898,84541.29376466107,54579.53112197601,0.6076825222503514,0.664,1.0011550315498918,27753.72931896758,142122.91685501527,0.5039787392953602,186607.8495858032,0.3515419579630164
3,30679.376636636975,103388.41085448847,66671.96304635695,0.6079512145184958,0.588,1.0007370554988286,33951.96945255169,190022.11798151003,0.5359758042050621,184988.32490263743,0.35228765694355274
4,37340.90111018524,123421.32107732311,79919.44645767173,0.6069679119121175,0.514,1.0006572811036591,41031.16609679283,243116.55213520656,0.5682014267182339,207410.30187287123,0.35030513810913333
5,42138.59703839432,137016.88699513828,89902.46298602417,0.6038131477395499,0.464,1.0017575353123391,45743.09213588126,280889.44834876433,0.5496680387539122,248481.1737815871,0.35346069940726144
6,49457.75332406713,162471.08158355608,104512.34872507569,0.6085436890062436,0.374,1.0027847676702266,53827.623940509475,326276.09260997496,0.5358365042574827,301118.93492140475,0.349994056110336
7,59617.367179783294,181096.74015774133,117348.14604792415,0.6068012840164507,0.298,1.002263761728357,61524.51530660533,323422.9640781391,0.4740222171138192,368607.51634072064,0.35101515171175973
8,65198.42863048213,195628.76484310036,125880.75413559224,0.6084695889083933,0.244,1.0030367895625116,66543.44657081796,302885.3796275824,0.41910593665151713,443446.64008177083,0.34928854141099913
9,70683.81672589453,209438.13273929153,133181.95185767257,0.6112838743404693,0.196,1.0037042610951945,71457.48519938037,282069.51959704445,0.3700330320539215,524350.3354740465,0.3466103770834926
10,70334.0135983285,210549.68737594105,134565.2448587629,0.6100857068472237,0.19,1.003703442196972,72224.52578895022,263533.9467916984,0.32559627531703506,611704.4029935612,0.34750931133248164
11,71779.79673425041,212719.10927909208,136992.22607019538,0.6082705585354583,0.18,1.0048367731649022,73365.97426634465,282457.840461948,0.31976994928727265,699358.7978131605,0.3489146993408161
12,71560.32162139335,213949.81233298735,137683.1398000305,0.6084464241339166,0.176,1.0054583826776724,73795.7547625944,296755.76344679773,0.30834115657770184,787332.0593274877,0.3490258112882659
13,74177.13511759274,214199.02366998492,137656.70894347466,0.608769458092925,0.174,1.005225511711145,74946.49475999932,308917.484412096,0.3025547404863395,875498.3630121632,0.3484946526119502
14,73953.02209284167,215501.83598879765,138161.01924885702,0.6093425781002207,0.172,1.0060607620264443,75367.93803484565,322106.69032858795,0.29643921744850893,963097.9397396779,0.34864570852223753
15,77600.45451941238,217232.70800839263,139371.03375301952,0.6091711403121886,0.164,1.0061597543449812,76465.25588064847,336006.324411863,0.2961395316854065,1052099.0081659192,0.34908477140167743
16,77577.96789174886,218501.59924105933,140676.38982364937,0.6083379435639487,0.158,1.007333566797774,76718.65500653823,348566.5913629646,0.28913192728493997,1142052.811446282,0.35002939205441796
17,78684.4338843249,219569.19797496116,141584.10715478926,0.6079667411491008,0.152,1.0077747619880866,77122.91810050828,363700.69807584834,0.2861243228844734,1232383.0154609596,0.35013421174765436
18,79240.30094606314,220222.8581278822,142050.98060308426,0.6078905915462065,0.15,1.008532257264847,77450.20886472332,375228.24275997176,0.2809167184840069,1322594.2699131072,0.35026676345548025
19,78342.43432053723,220222.8581278822,142050.98060308426,0.6078905915462065,0.15,1.0080987683261138,77356.52265775236,394374.56927259575,0.27690911408354035,1413191.932697453,0.35026676345548025
20,78572.16375664675,219215.31024363296,141897.28280755325,0.6070552909589617,0.154,1.0089280817974653,77326.53825863608,417086.499913057,0.27750150968307385,1503789.595481799,0.35099513118730113
21,77603.34479946583,220378.00449397918,142151.24522566036,0.6078902727556675,0.15,1.0094779572156156,77543.68788995735,440374.0200266429,0.2790939052826073,1593966.1878542064,0.3504485195831981
22,79080.1531070414,220642.32318999607,142269.93797634885,0.6079770423872842,0.15,1.009764770508365,78330.41115712273,450846.95317272673,0.2760863008821408,1684675.8889261011,0.350509963624016
23,75162.55948209547,220321.95916967612,142038.2911139946,0.6080191163274639,0.15,1.0101838172090167,77672.3715606246,462866.394628336,0.2752786964816742,1775124.4446161103,0.3501853523771918
24,74354.12323923338,219832.9237060062,141838.10710342193,0.6078256342898546,0.15,1.009964310616234,77609.82087104698,470936.82130731334,0.27572876092173704,1865394.9222211803,0.350378205848671
25,72539.85752892404,220557.9132106601,141949.98186146162,0.6084223715093974,0.15,1.0105120130262988,77249.20198325074,474527.05915116327,0.27596735475658535,1955037.5342267163,0.34993640557177713
26,72660.69086710417,220405.262371039,141954.8660701781,0.6082492114106688,0.15,1.0105447853844736,77367.82763152092,486204.7800331406,0.2781856961521042,2046395.5265273086,0.3500320348588474
27,73245.58447252003,220405.262371039,141954.8660701781,0.6082492114106688,0.15,1.0105468602550347,77674.99855144047,499954.6584906577,0.27468728426651084,2137039.8376390035,0.3500320348588474
28,75112.32007325064,220554.042769194,142130.2287811805,0.6081158188260736,0.15,1.0100005571222928,78319.90277332309,522766.29012231546,0.276518510858304,2227922.327657499,0.3502109022992512
29,74122.35275949654,220455.09838636723,142182.73567523746,0.6079208446543845,0.15,1.0099565030769475,78159.3812497583,532187.9040627055,0.2739730485459472,2318627.091924106,0.35043588147118987
